Country name,Life expectancy,Adult Mortality,Schooling,Developed,GDP per capita (WHO),Population (mln)
Kenya,64.8,223.608,6.3,0,1465,47.88
Montenegro,76.4,100.861,11.3,0,6517,0.62
Greece,81,70.7555,10.6,1,18084,10.82
Bolivia,70.3,184.52,8.7,0,3036,10.87
Ireland,81.5,61.0195,12.3,1,62012,4.7
Croatia,77.3,90.2285,11.2,1,11933,4.2
Kyrgyzstan,70.7,165.7935,10.8,0,1121,5.96
Switzerland,82.9,49.384,13.4,1,84776,8.28
Guatemala,73.3,163.8125,6.3,0,3995,15.57
Mauritania,63.9,203.5835,4.3,0,1524,4.05
Yemen,66.1,221.5195,3,0,1602,26.5
Zambia,61.7,302.822,6.9,0,1338,15.88
Kazakhstan,72,182.111,11.7,0,10511,17.54
Serbia,75.3,114.328,11,0,5589,7.1
Paraguay,73.7,145.351,8.5,0,5414,6.69
Bosnia and Herzegovina,76.9,96.067,9,0,4730,3.43
United Kingdom,81,69.3335,12.8,1,45405,65.12
Niger,60.6,249.086,1.8,0,484,20
Armenia,74.5,125.4875,11.6,0,3607,2.93
Bangladesh,71.5,129.753,5.2,0,1248,156.26
Uzbekistan,70.9,140.815,11.4,0,2754,31.3
Uruguay,77.4,105.685,8.7,0,15614,3.41
Chile,79.6,88.8665,10.3,0,13495,17.97
Germany,80.6,71.312,14.1,1,41103,81.69
Liberia,62.3,241.0125,4.4,0,722,4.47
Denmark,80.7,67.171,12.5,1,53255,5.68
Mauritius,74.4,144.3615,9.1,0,9260,1.26
Singapore,82.7,50.9615,11.5,0,55647,5.54
Iran,75.8,81.8615,9.8,0,5201,78.49
Poland,77.5,113.669,12.1,1,12578,37.99
Italy,82.5,52.9595,10.2,1,30242,60.73
Peru,75.8,124.07,9.1,0,6229,30.47
Cambodia,68.6,175.654,4.7,0,1163,15.52
Hungary,75.6,131.7765,11.8,1,12721,9.84
Australia,82.4,61.7325,12.8,1,56707,23.82
Egypt,71.3,149.529,7.1,0,3563,92.44
Georgia,73,156.2355,12.7,0,4014,3.73
Luxembourg,82.3,54.393,12,1,105462,0.57
Libya,72.1,134.7895,7.3,0,7590,6.42
United States,78.7,107.377,13.3,1,56763,320.74
Argentina,76.1,117.1895,9.8,0,13789,43.13
Cyprus,80.4,51.6435,11.9,1,23408,1.16
Laos,66.5,195.625,5.1,0,2140,6.74
Iceland,82.5,55.359,12.2,1,52952,0.33
Togo,59.9,271.709,4.7,0,571,7.32
Estonia,77.6,116.351,12.7,1,17402,1.32
Philippines,70.6,199.7365,9.3,0,3001,102.11
Romania,74.9,128.603,10.9,1,8969,19.82
Ivory Coast,56.1,396.458,5,0,1973,23.23
Burkina Faso,59.9,257.958,1.4,0,653,18.11
Ecuador,76.1,123.906,8.4,0,6124,16.21
Mali,57.5,267.5905,2.3,0,751,17.44
Sri Lanka,76.3,109.1795,10.9,0,3844,20.97
Ethiopia,65,224.423,2.6,0,641,100.84
France,82.3,75.4835,11.5,1,36653,66.55
Malaysia,75.5,121.723,10.2,0,9955,30.27
South Africa,62.6,351.3925,10.1,0,6260,55.39
Tunisia,75.9,91.343,7,0,4095,11.18
Venezuela,72.6,141.554,10.1,0,17318,30.08
Nicaragua,73.6,148.4805,6.5,0,2050,6.22
Bahrain,76.8,66.684,9.3,0,22634,1.37
