reminder_sent,weekday,specialty,total_appointments,attended_appointments,no_show_appointments,avg_lead_time_days,avg_wait_time_min,attendance_rate,no_show_rate,reminder_status
0,Tuesday,Chronic Care,1703,1465,238,4.52,27.76,0.8602,0.1398,No Reminder
0,Tuesday,Family Medicine,3426,2899,527,5.84,56.0,0.8462,0.1538,No Reminder
0,Tuesday,Geriatrics,1910,1687,223,6.5,48.78,0.8832,0.1168,No Reminder
0,Tuesday,Pediatrics,4050,3420,630,4.89,47.62,0.8444,0.1556,No Reminder
0,Tuesday,Rehabilitation,351,298,53,4.23,18.81,0.849,0.151,No Reminder
0,Tuesday,Women's Health,3371,2861,510,5.09,69.73,0.8487,0.1513,No Reminder
0,Wednesday,Behavioral Health,501,447,54,3.35,17.81,0.8922,0.1078,No Reminder
0,Wednesday,Chronic Care,1931,1652,279,4.4,29.21,0.8555,0.1445,No Reminder
0,Wednesday,Family Medicine,4024,3429,595,5.08,60.16,0.8521,0.1479,No Reminder
0,Wednesday,Geriatrics,2184,1900,284,6.15,46.91,0.87,0.13,No Reminder
0,Wednesday,Pediatrics,4372,3549,823,4.6,51.58,0.8118,0.1882,No Reminder
0,Wednesday,Rehabilitation,378,310,68,3.96,18.46,0.8201,0.1799,No Reminder
0,Wednesday,Women's Health,3617,3034,583,4.74,65.59,0.8388,0.1612,No Reminder
1,Friday,Behavioral Health,82,62,20,17.41,13.8,0.7561,0.2439,Reminder Sent
1,Friday,Chronic Care,489,367,122,21.95,18.88,0.7505,0.2495,Reminder Sent
1,Friday,Family Medicine,911,682,229,23.23,40.71,0.7486,0.2514,Reminder Sent
1,Friday,Geriatrics,511,418,93,27.48,41.32,0.818,0.182,Reminder Sent
1,Friday,Pediatrics,1020,720,300,21.13,27.46,0.7059,0.2941,Reminder Sent
1,Friday,Rehabilitation,54,49,5,28.52,15.26,0.9074,0.0926,Reminder Sent
1,Friday,Women's Health,1143,767,376,21.02,42.08,0.671,0.329,Reminder Sent
1,Monday,Behavioral Health,141,94,47,14.86,13.74,0.6667,0.3333,Reminder Sent
1,Monday,Chronic Care,888,674,214,15.6,27.03,0.759,0.241,Reminder Sent
1,Monday,Family Medicine,1781,1301,480,19.69,71.06,0.7305,0.2695,Reminder Sent
1,Monday,Geriatrics,904,734,170,17.8,47.92,0.8119,0.1881,Reminder Sent
1,Monday,Pediatrics,1669,1175,494,18.53,59.82,0.704,0.296,Reminder Sent
1,Monday,Rehabilitation,126,89,37,15.77,14.84,0.7063,0.2937,Reminder Sent
1,Monday,Women's Health,1635,1126,509,18.27,63.78,0.6887,0.3113,Reminder Sent
1,Saturday,Chronic Care,2,2,0,4.5,13.5,1.0,0.0,Reminder Sent
1,Saturday,Family Medicine,3,2,1,9.33,9.67,0.6667,0.3333,Reminder Sent
1,Saturday,Geriatrics,3,3,0,6.67,11.0,1.0,0.0,Reminder Sent
1,Saturday,Rehabilitation,1,1,0,12.0,11.0,1.0,0.0,Reminder Sent
1,Saturday,Women's Health,4,2,2,8.5,11.75,0.5,0.5,Reminder Sent
1,Thursday,Behavioral Health,106,72,34,17.12,14.04,0.6792,0.3208,Reminder Sent
1,Thursday,Chronic Care,535,401,134,19.26,25.86,0.7495,0.2505,Reminder Sent
1,Thursday,Family Medicine,1151,838,313,20.95,62.63,0.7281,0.2719,Reminder Sent
1,Thursday,Geriatrics,509,414,95,24.03,47.32,0.8134,0.1866,Reminder Sent
1,Thursday,Pediatrics,1149,807,342,20.59,45.75,0.7023,0.2977,Reminder Sent
1,Thursday,Rehabilitation,66,46,20,17.29,14.42,0.697,0.303,Reminder Sent
1,Thursday,Women's Health,1331,893,438,19.14,61.61,0.6709,0.3291,Reminder Sent
1,Tuesday,Behavioral Health,219,134,85,14.34,14.21,0.6119,0.3881,Reminder Sent
1,Tuesday,Chronic Care,1309,1024,285,14.79,24.23,0.7823,0.2177,Reminder Sent
1,Tuesday,Family Medicine,2473,1841,632,17.77,49.88,0.7444,0.2556,Reminder Sent
1,Tuesday,Geriatrics,1326,1044,282,17.92,46.52,0.7873,0.2127,Reminder Sent
1,Tuesday,Pediatrics,2141,1470,671,17.55,45.25,0.6866,0.3134,Reminder Sent
1,Tuesday,Rehabilitation,176,129,47,13.78,14.7,0.733,0.267,Reminder Sent
1,Tuesday,Women's Health,2764,1864,900,16.77,64.03,0.6744,0.3256,Reminder Sent
1,Wednesday,Behavioral Health,195,131,64,15.39,13.5,0.6718,0.3282,Reminder Sent
1,Wednesday,Chronic Care,1064,817,247,19.03,24.26,0.7679,0.2321,Reminder Sent
1,Wednesday,Family Medicine,2097,1597,500,20.48,57.81,0.7616,0.2384,Reminder Sent
1,Wednesday,Geriatrics,990,799,191,22.27,44.43,0.8071,0.1929,Reminder Sent
1,Wednesday,Pediatrics,2002,1399,603,19.59,49.56,0.6988,0.3012,Reminder Sent
1,Wednesday,Rehabilitation,113,87,26,23.83,14.71,0.7699,0.2301,Reminder Sent
1,Wednesday,Women's Health,2399,1623,776,18.67,61.32,0.6765,0.3235,Reminder Sent
